"","Treatment","TaxonomicGroup","mean","sd","samplesize","CommonName"
"1","Control","Acari",42.5,49.7182973452339,12,"Mites"
"2","Control","Coleoptera",10.5833333333333,6.28791529744786,12,"Beetles"
"3","Control","Collembola",0,0,12,"Springtails"
"4","Control","Dermestidae",0.0833333333333333,0.288675134594813,12,"Skin Beetles"
"5","Control","Diptera",4.33333333333333,4.9969687781391,12,"Flies"
"6","Control","Hemiptera",0.0833333333333333,0.288675134594813,12,"True Bugs"
"7","Control","Histeridae",8.08333333333333,5.69622416140461,12,"Clown Beetles"
"8","Control","Hymenoptera",0.666666666666667,1.43548112513055,12,"Wasps, Bees, and Ants"
"9","Control","Ixodida",3.41666666666667,3.20392751402892,12,"Ticks"
"10","Control","Lepidoptera",0.333333333333333,0.492365963917331,12,"Butterflies and Moths"
"11","Control","Protocalliphora",0.5,1.16774841624228,12,"Blowfly Parasites"
"12","Control","Psocodea",0.333333333333333,1.15470053837925,12,"Booklice and Barklice"
"13","Control","Siphonaptera",229.333333333333,181.405789891229,12,"Fleas"
"14","Control","Staphylinidae",2.08333333333333,2.96826650767852,12,"Rove Beetles"
"15","Treatment","Acari",50,55.0555275255002,10,"Mites"
"16","Treatment","Coleoptera",52.6,125.54432594816,10,"Beetles"
"17","Treatment","Collembola",0.2,0.632455532033676,10,"Springtails"
"18","Treatment","Dermestidae",0.4,0.699205898780101,10,"Skin Beetles"
"19","Treatment","Diptera",1.5,2.63523138347365,10,"Flies"
"20","Treatment","Hemiptera",0,0,10,"True Bugs"
"21","Treatment","Histeridae",8.2,14.9577181860514,10,"Clown Beetles"
"22","Treatment","Hymenoptera",0.4,0.843274042711568,10,"Wasps, Bees, and Ants"
"23","Treatment","Ixodida",1,1.56347191994114,10,"Ticks"
"24","Treatment","Lepidoptera",0.2,0.632455532033676,10,"Butterflies and Moths"
"25","Treatment","Protocalliphora",0.5,1.08012344973464,10,"Blowfly Parasites"
"26","Treatment","Psocodea",0,0,10,"Booklice and Barklice"
"27","Treatment","Siphonaptera",367.5,480.027140436409,10,"Fleas"
"28","Treatment","Staphylinidae",2.8,2.48551358430763,10,"Rove Beetles"
